district,crime_rate,senior_pedestrian_accidents,steep_slope_count,senior_center,sports_center,cultural_facilities,welfare_facilities,subway_station_count,bus_stop_density,medical_corporations_count,emergency_room_count,employ,green_space_per_capita,pm2_5_level
강남구,1.0,0.4904458598726115,1.0,0.8882978723404256,0.5813953488372092,0.3684210526315789,0.5869565217391304,0.7407407407407407,0.086092715231788,0.6666666666666666,0.375,0.5249728555917482,0.9999999999999999,0.6206896551724128
강동구,0.3333572556337017,0.480891719745223,0.0,0.4840425531914894,0.6046511627906976,0.0095693779904306,0.5527950310559006,0.5185185185185186,0.0982339955849889,0.0,0.25,0.6074918566775244,0.2736156351791531,0.3448275862068968
강북구,0.1225778670876991,0.5222929936305734,0.2278481012658227,0.2925531914893617,0.0232558139534883,0.0095693779904306,0.5124223602484471,0.074074074074074,0.1203090507726269,0.1666666666666666,0.25,0.12459283387622155,0.0,0.6896551724137936
강서구,0.4975599253624228,0.6624203821656052,0.1392405063291139,0.99468085106383,0.7441860465116279,0.0191387559808612,0.8385093167701863,0.2962962962962963,0.0540838852097129,0.6666666666666666,0.375,0.9592833876221499,0.5081433224755699,0.4482758620689644
관악구,0.5863355820295679,0.4331210191082803,0.6455696202531646,0.3351063829787233,0.2325581395348837,0.0143540669856459,0.5,0.1111111111111111,0.1092715231788079,0.1666666666666666,0.375,0.6634093376764386,0.013029315960912058,0.6551724137931032
광진구,0.3019951198507248,0.0,0.1139240506329113,0.2393617021276595,0.6511627906976745,0.0574162679425837,0.2763975155279502,0.3703703703703703,0.1865342163355408,0.1666666666666666,0.125,0.2779587404994571,0.11726384364820844,0.7241379310344822
구로구,0.3701736759006745,0.4745222929936306,0.0379746835443037,0.7606382978723405,0.6976744186046511,0.0717703349282296,0.7298136645962732,0.2222222222222222,0.9039735099337752,1.0,0.125,0.5637893593919653,0.3876221498371335,0.8275862068965516
금천구,0.0957370460743504,0.2388535031847133,0.5189873417721519,0.2021276595744681,0.0930232558139534,0.0095693779904306,0.1956521739130434,0.0,0.8134657836644594,0.3333333333333333,0.0,0.46661237785016285,0.41693811074918563,0.206896551724137
노원구,0.3563944308884743,0.4745222929936306,0.050632911392405,1.0,0.7674418604651163,0.0574162679425837,1.0,0.4444444444444444,0.086092715231788,0.3333333333333333,0.25,1.0,0.28338762214983715,0.0
도봉구,0.0,0.2484076433121019,0.2531645569620253,0.452127659574468,0.2093023255813953,0.0526315789473684,0.7267080745341614,0.074074074074074,0.1677704194260485,0.0,0.0,0.3422909880564604,0.1335504885993485,1.0
동대문구,0.2330271278886177,1.0000000000000002,0.1772151898734177,0.4574468085106383,0.186046511627907,0.0765550239234449,0.531055900621118,0.1851851851851851,0.751655629139073,0.1666666666666666,0.375,0.35233441910966345,0.22801302931596087,0.4827586206896548
동작구,0.1497057557054686,0.445859872611465,0.4936708860759494,0.4574468085106383,0.3023255813953489,0.0478468899521531,0.4906832298136645,0.4074074074074074,0.9536423841059604,0.1666666666666666,0.125,0.4109663409337677,0.08469055374592832,0.137931034482758
