district,crime_rate,walkability_score,senior_pedestrian_accidents,steep_slope_count,park,senior_center,sports_center,cultural_facilities,welfare_facilities,senior_population,subway_station_count,subway_line_count,bus_stop_count,bus_stop_density,medical_corporations_count,emergency_room_count,capacity_score,hazard_score,exposure_score,vulnerability_score,risk_equal,risk_weighted,rank_equal,rank_weighted,rank_diff,risk_entropy,rank_entropy,risk_ahp,rank_ahp
강남구,1,0.685185185,0.49044586,1,0.839694656,0.888297872,0.581395349,0.368421053,0.586956522,0.739409543,0.740740741,0.6,0.853281853,0.086092715,0.666666667,0.375,0.34704691,0.793907761,0.739409543,0.553630329,0.608498636,0.662473682,1,1,0,0.6529258,2,0.683411159,1
강동구,0.333357256,0.731481481,0.48089172,0,0.580152672,0.484042553,0.604651163,0.009569378,0.552795031,0.721386886,0.518518519,0.4,0.28957529,0.098233996,0,0.25,0.553757841,0.386432614,0.721386886,0.259387967,0.480241327,0.48660875,12,9,3,0.539747069,9,0.420112033,12
강북구,0.122577867,0.009259259,0.522292994,0.227848101,0.244274809,0.292553191,0.023255814,0.009569378,0.51242236,0.509875272,0.074074074,0,0.27027027,0.120309051,0.166666667,0.25,0.783584889,0.220494555,0.509875272,0.146886677,0.415210348,0.377050745,20,20,0,0.422350298,17,0.290681916,23
강서구,0.497559925,0.768518519,0.662420382,0.139240506,0.908396947,0.994680851,0.744186047,0.019138756,0.838509317,0.923446619,0.296296296,0,0.88030888,0.054083885,0.666666667,0.375,0.299017617,0.516934833,0.923446619,0.378725955,0.529531256,0.578559011,5,3,2,0.644014169,3,0.531342993,3
관악구,0.586335582,0.731481481,0.433121019,0.64556962,0.603053435,0.335106383,0.23255814,0.014354067,0.5,0.7098295,0.111111111,0,0.494208494,0.109271523,0.166666667,0.375,0.662985595,0.599126926,0.7098295,0.209376299,0.54532958,0.563966373,3,4,-1,0.579170323,5,0.512119373,5
광진구,0.30199512,0.240740741,0,0.113924051,0.099236641,0.239361702,0.651162791,0.057416268,0.276397516,0.376358851,0.37037037,0.4,0.05019305,0.186534216,0.166666667,0.125,0.735285016,0.164164978,0.376358851,0.216460717,0.373067391,0.323950293,24,24,0,0.357560222,22,0.257465668,24
구로구,0.370173676,0.972222222,0.474522293,0.037974684,0.450381679,0.760638298,0.697674419,0.071770335,0.729813665,0.6524774,0.222222222,0.2,0.683397683,0.90397351,1,0.125,0.457944321,0.463723219,0.6524774,0.522432236,0.524144294,0.531224442,7,7,0,0.562249906,6,0.512339845,4
금천구,0.095737046,0.851851852,0.238853503,0.518987342,0,0.20212766,0.093023256,0.009569378,0.195652174,0.241423504,0,0,0.166023166,0.813465784,0.333333333,0,0.899925507,0.426357436,0.241423504,0.218803714,0.44662754,0.400401722,15,18,-3,0.368041595,21,0.370572722,18
노원구,0.356394431,0,0.474522293,0.050632911,1,1,0.76744186,0.057416268,1,0.843643437,0.444444444,0.4,0.694980695,0.086092715,0.333333333,0.25,0.235028374,0.220387409,0.843643437,0.368141865,0.416800271,0.439111253,19,15,4,0.541176679,8,0.370307537,19
도봉구,0,0.601851852,0.248407643,0.253164557,0.198473282,0.45212766,0.209302326,0.052631579,0.726708075,0.542052866,0.074074074,0.2,0.189189189,0.167770419,0,0,0.672151416,0.275856013,0.542052866,0.10517228,0.398808144,0.381022633,22,19,3,0.422247612,18,0.302213283,22
동대문구,0.233027128,0.314814815,1,0.17721519,0.282442748,0.457446809,0.186046512,0.076555024,0.531055901,0.488946104,0.185185185,0.4,0.212355212,0.751655629,0.166666667,0.375,0.693290601,0.431264283,0.488946104,0.348477116,0.490494526,0.471315344,10,11,-1,0.479581361,13,0.436940196,11
동작구,0.149705756,1,0.445859873,0.493670886,0.244274809,0.457446809,0.302325581,0.04784689,0.49068323,0.530358165,0.407407407,0.4,0.459459459,0.953642384,0.166666667,0.125,0.691484536,0.522309129,0.530358165,0.418695986,0.540711954,0.529377522,4,8,-4,0.529641289,10,0.506720978,7
마포구,0.398162767,0.935185185,0.111464968,0.17721519,0.679389313,0.659574468,0.604651163,0.114832536,0.440993789,0.379402678,0.555555556,0.4,0.571428571,0.46799117,0.666666667,0,0.500111746,0.405507028,0.379402678,0.443606994,0.432157111,0.419486424,17,17,0,0.415315779,19,0.418818656,14
서대문구,0.080020095,0.759259259,0.315286624,0.632911392,0.534351145,0.39893617,0.11627907,0.066985646,0.350931677,0.381920128,0.148148148,0.4,0.55984556,0.975717439,0.5,0.125,0.706503258,0.446869343,0.381920128,0.451451858,0.496686147,0.467246169,9,13,-4,0.45621273,15,0.456154021,10
서초구,0.481914741,0.87962963,0.25477707,0.632911392,0.954198473,0.675531915,1,0.177033493,0.354037267,0.479253919,0.407407407,0.6,1,0,0.166666667,0,0.36783977,0.562308208,0.479253919,0.362345679,0.442936894,0.46822915,16,12,4,0.453806563,16,0.476952229,8
성동구,0.029209129,0.648148148,0.197452229,0.227848101,0.381679389,0.670212766,0.651162791,0.052631579,0.434782609,0.279116604,0.481481481,0.4,0.521235521,1,0.666666667,0.125,0.561906173,0.275664402,0.279116604,0.532397278,0.412271114,0.370982903,21,21,0,0.372688219,20,0.370252164,20
성북구,0.11834362,0.833333333,0.515923567,0.569620253,0.519083969,0.739361702,0.279069767,0.157894737,0.677018634,0.648987298,0.296296296,0.2,0.83011583,0.727373068,0.5,0,0.525514238,0.509305193,0.648987298,0.425630866,0.527359399,0.536906316,6,5,1,0.558968433,7,0.510687457,6
송파구,0.658963686,0.268518519,0.71656051,0.278481013,0.908396947,0.611702128,0.930232558,0.148325359,0.791925466,1,1,0.8,0.737451737,0.171081678,0,0.125,0.321883509,0.480630932,1,0.472255569,0.568692502,0.610954466,2,2,0,0.695470088,1,0.555624122,2
양천구,0.235467203,0.351851852,0.452229299,0.35443038,0.503816794,0.643617021,0.558139535,0.023923445,0.844720497,0.612621581,0.148148148,0.2,0.247104247,0.485651214,0.833333333,0.25,0.485156542,0.348494683,0.612621581,0.360706157,0.451744741,0.450674326,13,14,-1,0.493323273,12,0.40732068,15
영등포구,0.537821157,0.027777778,0.503184713,0.088607595,0.404580153,0.728723404,0.511627907,0.019138756,0.667701863,0.498935805,0.37037037,0.4,0.590733591,0.449227373,0,1,0.533645583,0.289347811,0.498935805,0.468388556,0.447579439,0.424677024,14,16,-2,0.459382826,14,0.394129818,16
용산구,0.175613607,0.472222222,0.015923567,0.341772152,0.396946565,0.313829787,0.534883721,0.210526316,0.139751553,0.14365488,0.333333333,0.2,0.196911197,0.114790287,0.333333333,0,0.680812412,0.251382887,0.14365488,0.196394692,0.318061218,0.272481275,25,25,0,0.25376183,25,0.248917586,25
은평구,0.308741209,0.527777778,0.547770701,0.278481013,0.618320611,0.606382979,0.302325581,0.04784689,0.742236025,0.814852958,0.444444444,0.2,0.532818533,0.1401766,0.333333333,0.25,0.536577583,0.415692675,0.814852958,0.316795485,0.520979675,0.533794058,8,6,2,0.597631494,4,0.464956439,9
종로구,0.208769915,0.407407407,0.210191083,0.734177215,0.389312977,0.122340426,0,1,0.065217391,0.034180112,0.518518519,0.6,0.455598456,0.324503311,0.5,0.375,0.684625841,0.390136405,0.034180112,0.462270048,0.392803102,0.341949661,23,22,1,0.284094622,24,0.371270654,17
중구,0.240993254,0.601851852,0.197452229,0.088607595,0.129770992,0,0.139534884,0.277511962,0,0,0.814814815,1,0,0.895143488,0.166666667,0.125,0.890636432,0.282226232,0,0.500270828,0.418283373,0.332428812,18,23,-5,0.286876795,23,0.340563316,21
중랑구,0.302210421,0.333333333,0.652866242,0.253164557,0.404580153,0.39893617,0.139534884,0,0.844720497,0.648117634,0.259259259,0.2,0.239382239,0.385209713,0.333333333,0.25,0.642445659,0.385393638,0.648117634,0.277864091,0.488455255,0.481262731,11,10,1,0.522632979,11,0.418837304,13
